,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_FDE,config/model/n_layers_hidden_FDE,config/model/activation_FDE,config/model/alpha,logdir
0,1.6549479405409081e+34,,,1729212895,,True,51,7e8a5eaf,2024-10-18_02-54-55,0.0004608631134033203,2.4414923191070557,863020,zimmerib,139.11.222.200,2.4414923191070557,51,0.18727631402249278,0.9999507143064099,76,3,none,0.8005575058716043,7e8a5eaf
1,,,,1729212899,,True,51,3fc353bc,2024-10-18_02-54-59,0.0005254745483398438,2.483738660812378,865084,zimmerib,139.11.222.200,2.483738660812378,51,0.35403920817224477,0.9990205844942958,98,4,none,0.762378215816119,3fc353bc
2,93.40724182128906,,,1729212902,,True,51,2d996007,2024-10-18_02-55-02,0.0003180503845214844,1.8837990760803223,865277,zimmerib,139.11.222.200,1.8837990760803223,51,0.21597818987087147,0.9992912291401981,65,1,none,0.5998368910791798,2d996007
3,8.301396110827968e+32,,24.0,1729212905,,True,25,6ba91ea1,2024-10-18_02-55-05,0.02955317497253418,1.403141975402832,865362,zimmerib,139.11.222.200,1.403141975402832,25,0.25712207686242167,0.999592414568862,14,3,none,0.9041986740582306,6ba91ea1
4,inf,,24.0,1729212909,,True,25,57b64450,2024-10-18_02-55-09,0.02793407440185547,1.3911845684051514,865462,zimmerib,139.11.222.200,1.3911845684051514,25,0.15231383844899363,0.9990976721140064,72,2,none,0.6293899908000085,57b64450
5,inf,,24.0,1729212913,,True,25,c78000c0,2024-10-18_02-55-13,0.032362937927246094,1.4865467548370361,865563,zimmerib,139.11.222.200,1.4865467548370361,25,0.33126451695414744,0.9993117110760894,57,3,leaky_relu,0.9474136752138245,c78000c0
6,0.06547033786773682,,,1729212917,,True,51,5409259f,2024-10-18_02-55-17,0.00037097930908203125,1.9840891361236572,865647,zimmerib,139.11.222.200,1.9840891361236572,51,0.2989540104057545,0.9999218742350231,18,1,elu,0.9143687545759647,5409259f
7,0.13040979206562042,,,1729212922,,True,51,bbb30a32,2024-10-18_02-55-22,0.0004494190216064453,2.0900628566741943,865747,zimmerib,139.11.222.200,2.0900628566741943,51,0.1783830958135277,0.9992809345096874,59,1,elu,0.5993578407670862,bbb30a32
8,0.0011635040864348412,,,1729212926,,True,51,98bcb0a3,2024-10-18_02-55-26,0.00034046173095703125,2.3898255825042725,865850,zimmerib,139.11.222.200,2.3898255825042725,51,0.0027710033406299637,0.9998154614284548,74,3,relu,0.9315517129377968,98bcb0a3
9,inf,,24.0,1729212929,,True,25,956bbd10,2024-10-18_02-55-29,0.026187896728515625,1.3574597835540771,865951,zimmerib,139.11.222.200,1.3574597835540771,25,0.3116528304325107,0.9993308980248526,15,2,none,0.7361074625809747,956bbd10
