,mean,std
0,0.04033181630074978,0.02342313383932124
1,0.0417207614518702,0.05568424375941506
2,0.1565212226123549,0.2977425914364487
3,0.010066099464893341,0.010958395252169281
4,0.01164385286392644,0.012992980325220565
5,0.005203211592743173,0.005144578217313339
6,0.007057829527184367,0.007139312374117128
7,0.0074867456569336355,0.006717029923843903
8,0.007804181281244382,0.0076867656779526505
9,0.006772678781999275,0.007281077519156524
10,0.0013466635355143808,0.00142505178021776
11,0.0029033801693003625,0.00278424488296339
12,0.004563323687762022,0.003510875512290185
13,0.002979433542350307,0.0037142222382077843
14,0.0031976264726836234,0.003261389755039463
15,0.0023449661857739557,0.0023514277300556476
16,0.0011683112643368077,0.0007219695930802995
17,0.0013000532853766344,0.0015652725694892372
18,0.00132502361520892,0.0017690882039611625
19,0.0011403655225876719,0.0009203099939595152
20,0.001673255621426506,0.0014548979061559197
21,0.0012986452675249893,0.0011420721530253407
22,0.0012344118167675333,0.0011978438211070156
23,0.001219875648530433,0.0014343478371399091
24,0.0004678870100178756,0.0002549908660251522
25,0.0005670583759638248,0.0007130263413856172
26,0.0007655040953977732,0.0012144150196933912
27,0.00021198391550569795,0.00020056709551246655
28,0.0005878095453226706,0.0005377053401699057
29,0.000826397466880735,0.000805542462551344
30,0.0004485950921662152,0.0003770461143767497
31,0.00030532725213561207,0.0003147552343180263
32,0.00047477963380515575,0.0005473337952650584
33,0.0002843584234142327,0.0002813389286643128
34,7.625214220752241e-05,5.9225624664761665e-05
35,0.00016286664936160378,0.00023042667025905674
36,0.00024401366863457952,0.0003491419286817539
37,0.00017011987984005827,0.00011629566398730224
38,0.00011333175370964454,0.00013458415033854067
39,0.00019688807651618845,0.00018900580327833923
40,0.00021604584571832675,0.0002218509191760733
41,0.00012451725888240617,8.76381982556266e-05
42,8.200235879485263e-05,4.492760095837071e-05
43,8.541895431335433e-05,8.964717042125642e-05
44,8.60190593812149e-05,0.00013230597824616215
45,5.949021397100296e-05,6.934375816073335e-05
46,3.54103758581914e-05,2.0124315382884175e-05
47,5.876384602743201e-05,3.35350914831022e-05
48,9.167243524643709e-05,8.510842871662462e-05
49,7.98261926320265e-05,5.7323447529413504e-05
50,4.681157997765695e-05,4.3257161539549135e-05
51,4.0378056382905925e-05,3.0189529160181983e-05
52,4.9186266551259905e-05,3.886190526340003e-05
53,4.262700895196758e-05,3.9152973067206666e-05
54,2.292044615614941e-05,1.828168838292618e-05
55,1.1463953910606506e-05,5.84129010690705e-06
56,2.210000957347802e-05,1.0940873184515992e-05
57,3.690157564051333e-05,2.7347671516076046e-05
58,3.128447224298725e-05,1.712919907637476e-05
59,1.9463601120150997e-05,1.735968430343938e-05
60,2.0641476339733345e-05,1.2847354897540672e-05
61,2.4244523046945687e-05,1.2151925427545868e-05
62,1.9594541754486272e-05,1.4506236115384278e-05
63,1.163754836852604e-05,7.532336810287514e-06
64,7.701727838593797e-06,5.032875721539834e-06
65,1.0726984783104854e-05,4.850923909916612e-06
66,1.4922511468284938e-05,1.1104204586899543e-05
67,1.4173915133142145e-05,6.999757977462813e-06
68,1.1495093758639996e-05,4.328802712556937e-06
69,1.0945499525405467e-05,4.503869912263626e-06
70,1.1736952842511528e-05,5.183234895046639e-06
71,1.1060182032451848e-05,5.636972552537819e-06
72,8.35753883166035e-06,3.5611998253817933e-06
73,5.644532279802661e-06,3.395764447106743e-06
74,6.0525575520387065e-06,3.7029839108072857e-06
75,8.336724192758993e-06,5.113945212275145e-06
76,7.957450293361035e-06,2.9833711963297514e-06
77,6.439169851546467e-06,1.7507659157162402e-06
78,6.651823355241504e-06,1.6864295956982998e-06
79,7.196711294454872e-06,1.992377332051134e-06
80,6.630666348428349e-06,3.042693664846057e-06
81,5.265882691674051e-06,2.621032133647976e-06
82,4.449107080972681e-06,2.8269668111591175e-06
83,4.707499641654067e-06,2.9830892635954387e-06
84,5.237881936182021e-06,3.3582279489810467e-06
85,5.033568299950275e-06,2.3654242410591246e-06
86,4.673830972024007e-06,1.9019610086479819e-06
87,4.637949757579918e-06,1.8881117272755301e-06
88,4.835364109112561e-06,2.1948031991777634e-06
89,4.677761580751394e-06,2.3598806629283553e-06
90,3.97532545548529e-06,2.389910044064386e-06
91,3.619428426304694e-06,2.47063422208951e-06
92,3.955584929826728e-06,2.5604006877704977e-06
93,4.045164359922637e-06,2.5000241268869056e-06
94,3.79078963419488e-06,2.2302404460350958e-06
95,3.730319519945624e-06,2.0195697454316814e-06
96,3.82231169737679e-06,1.9837244545109817e-06
97,3.8141333789099008e-06,2.13602317735336e-06
98,3.6028194472237374e-06,2.1788959221139495e-06
99,3.335317103392299e-06,2.1530144675196353e-06
100,3.3110397055224894e-06,2.200072692378383e-06
101,3.38180130654564e-06,2.2130330238959706e-06
102,3.3434417616717838e-06,2.112673645719588e-06
103,3.2297492396082816e-06,1.9893822473208773e-06
104,3.215870435724355e-06,1.926444522335532e-06
105,3.267398710704583e-06,1.9213624534989596e-06
106,3.1972766123544716e-06,1.9599767835579296e-06
107,3.0305428424526326e-06,1.9473973786946214e-06
108,2.9884744350283654e-06,1.9396809689255832e-06
109,3.0033721287736626e-06,1.953306120995236e-06
110,2.9655780338089244e-06,1.926158180577473e-06
111,2.9217659687219566e-06,1.8542280385423506e-06
112,2.890184788384431e-06,1.790337362709382e-06
113,2.892307350066403e-06,1.78926905597072e-06
114,2.870563548640348e-06,1.7842703350467286e-06
115,2.7966970037596184e-06,1.7591924259885296e-06
116,2.743361378065856e-06,1.7567164139594325e-06
117,2.732147947881458e-06,1.7573804314221504e-06
118,2.7169481029432063e-06,1.7407672261701463e-06
119,2.6764596583461753e-06,1.7027919346181517e-06
120,2.6488013276093625e-06,1.6664072186745203e-06
121,2.6447063845580487e-06,1.6555525234433533e-06
122,2.621683123038565e-06,1.6485194335675754e-06
123,2.5803115022426937e-06,1.6280968442855013e-06
124,2.5483801806558404e-06,1.6177317022617304e-06
125,2.527163971421942e-06,1.619166679047191e-06
126,2.5105166656658184e-06,1.6097151254987016e-06
127,2.4854555249476107e-06,1.5841552863956326e-06
128,2.460988014263421e-06,1.5661311675053238e-06
129,2.4508289442337627e-06,1.5610123743085465e-06
130,2.4338927602229887e-06,1.5502830261220387e-06
131,2.405591885690228e-06,1.5379307477981314e-06
132,2.3828335855569094e-06,1.5317190794286613e-06
133,2.3668924029607297e-06,1.5287004333441944e-06
134,2.3496185121985036e-06,1.5230335662801691e-06
135,2.329137458900732e-06,1.5087456264160842e-06
136,2.312774640245152e-06,1.4981611625724685e-06
137,2.2998371491667058e-06,1.4950300599030372e-06
138,2.284097860183465e-06,1.488162194085209e-06
139,2.2654005107369812e-06,1.4800809287752193e-06
140,2.2474720822174277e-06,1.4761535447833985e-06
141,2.233604561752145e-06,1.4745531053625105e-06
142,2.2186429191606294e-06,1.4695589904185012e-06
143,2.2015825322796445e-06,1.46174905218054e-06
144,2.188195466601428e-06,1.4570818433725883e-06
145,2.175705546392237e-06,1.4543258477436266e-06
146,2.1610758693668686e-06,1.450434640942522e-06
147,2.1461185468751864e-06,1.4457459964586749e-06
148,2.1323993308897116e-06,1.4437213679042286e-06
149,2.119454919125019e-06,1.4430527987692532e-06
150,2.1058630181869376e-06,1.4393324546544025e-06
151,2.0926257775499835e-06,1.4357564138403226e-06
152,2.0806501055403714e-06,1.4341912876344419e-06
153,2.0689389828021376e-06,1.4325599899491149e-06
154,2.0562912510513343e-06,1.4302689850476112e-06
155,2.0436675498558543e-06,1.4283211039750482e-06
156,2.032146866781659e-06,1.427880261612963e-06
157,2.020407563918525e-06,1.4271318449223883e-06
158,2.008571442502216e-06,1.425397846661432e-06
159,1.9975189502474677e-06,1.4242669676615643e-06
160,1.9868783027732206e-06,1.4240232615040454e-06
161,1.976321613028631e-06,1.4235369585778076e-06
162,1.9656627614494937e-06,1.4227530612875914e-06
163,1.9554308750002747e-06,1.4229627998566421e-06
164,1.945602150499326e-06,1.4234612843637913e-06
165,1.9357007658982184e-06,1.4234927653118768e-06
166,1.92605091342557e-06,1.4235868769834438e-06
167,1.916824814429674e-06,1.4239915444328043e-06
168,1.9077764221719917e-06,1.4246347171983992e-06
169,1.8986046370628173e-06,1.4250339022974833e-06
170,1.8896911626598012e-06,1.425625983220619e-06
