,epochs,train,val,test
0,0.0,0.018448006361722946,0.024960488080978394,0.05212175473570824
1,1.0,0.012103351764380932,0.015518930740654469,0.020541908219456673
2,2.0,0.00825442373752594,0.010331063531339169,0.011108042672276497
3,3.0,0.005762868095189333,0.006788682192564011,0.007215914782136679
4,4.0,0.0038739051669836044,0.003972434438765049,0.004138362128287554
5,5.0,0.002323198365047574,0.0018583135679364204,0.0016898422036319971
6,6.0,0.0011360661592334509,0.0005839881487190723,0.0003578905016183853
7,7.0,0.00038808342651464045,0.00011776776955230162,0.00015211524441838264
8,8.0,7.683096919208765e-05,0.0002065465087071061,0.0005807584966532886
9,9.0,9.075320122065023e-05,0.000503482879139483,0.0010319092543795705
10,10.0,0.0002588970819488168,0.000758433248847723,0.0011716869194060564
11,11.0,0.00044188182801008224,0.0009075988200493157,0.0010499147465452552
12,12.0,0.0005856766365468502,0.0010170747991651297,0.0009192144498229027
13,13.0,0.0007046257378533483,0.0011723157949745655,0.000998120754957199
14,14.0,0.000831237412057817,0.0013980057556182146,0.0013295076787471771
15,15.0,0.0009754840284585953,0.0016407471848651767,0.0017734718276187778
16,16.0,0.0011131318751722574,0.001809923443943262,0.0021124924533069134
17,17.0,0.0012029818026348948,0.0018399340333417058,0.0021905580069869757
18,18.0,0.001215670257806778,0.0017273678677156568,0.0019927446264773607
19,19.0,0.0011511880438774824,0.0015237806364893913,0.0016287588514387608
20,20.0,0.0010353073012083769,0.0012987974332645535,0.0012526302598416805
21,21.0,0.0009019211865961552,0.0011012665927410126,0.0009760063257999718
22,22.0,0.0007748053758405149,0.0009404359734617174,0.0008215853595174849
23,23.0,0.0006593266152776778,0.0007947145495563745,0.0007357379654422402
24,24.0,0.000547293690033257,0.000638409866951406,0.0006443082238547504
25,25.0,0.0004297624691389501,0.0004659435071516782,0.0005096793174743652
26,26.0,0.0003078270237892866,0.0002972130896523595,0.00035095986095257103
27,27.0,0.00019407308718655258,0.00016300009156111628,0.00021926472254563123
28,28.0,0.00010488543193787336,8.304189395857975e-05,0.00015168586105573922
29,29.0,4.9992922868113965e-05,5.3169773309491575e-05,0.00014054845087230206
30,30.0,2.6826406610780396e-05,5.062040509073995e-05,0.00014210844528861344
31,31.0,2.3472808607039042e-05,5.250466347206384e-05,0.00011684368655551225
32,32.0,2.7509975552675314e-05,5.177754064789042e-05,6.541129550896585e-05
33,33.0,3.3508938940940425e-05,5.78677500016056e-05,2.765007047855761e-05
34,34.0,4.358856313046999e-05,8.303579670609906e-05,4.558314321911894e-05
35,35.0,6.16528996033594e-05,0.0001274511159863323,0.00012348603922873735
36,36.0,8.701192564330995e-05,0.00017593137454241514,0.00022002124751452357
37,37.0,0.00011290385009488091,0.00020840107754338533,0.0002787416451610625
38,38.0,0.00013075163587927818,0.00021419920085463673,0.0002697378513403237
39,39.0,0.00013600614329334348,0.00019793075625784695,0.0002073914947686717
40,40.0,0.0001304751494899392,0.0001730949297780171,0.00013282120926305652
41,41.0,0.00011962420103373006,0.00015045097097754478,8.022779366001487e-05
42,42.0,0.00010777882562251762,0.0001313968386966735,5.64054207643494e-05
43,43.0,9.548658272251487e-05,0.00011082307173637673,4.672780414693989e-05
44,44.0,8.08442709967494e-05,8.505368168698624e-05,3.624417877290398e-05
45,45.0,6.288522126851603e-05,5.676149157807231e-05,2.3959801183082163e-05
46,46.0,4.357610669103451e-05,3.28575843013823e-05,1.9307726688566618e-05
47,47.0,2.6734785933513194e-05,1.8419050320517272e-05,2.84949601336848e-05
48,48.0,1.5218121006910224e-05,1.2838974726037122e-05,4.6227021812228486e-05
49,49.0,9.106081051868387e-06,1.1402348718547728e-05,6.031637894921005e-05
50,50.0,6.340688287309604e-06,1.0072812074213289e-05,6.312206096481532e-05
51,51.0,4.890149739367189e-06,8.669278940942604e-06,5.801093720947392e-05
52,52.0,4.290526703698561e-06,9.811961717787199e-06,5.5188400438055396e-05
53,53.0,5.32719741386245e-06,1.5299014194170013e-05,6.18046906311065e-05
54,54.0,8.517552487319335e-06,2.3709459128440358e-05,7.591154280817136e-05
55,55.0,1.3058518561592791e-05,3.1359926651930436e-05,8.918347157305107e-05
56,56.0,1.721504668239504e-05,3.53264513250906e-05,9.479429718339816e-05
57,57.0,1.9618986698333174e-05,3.547502637957223e-05,9.268385474570096e-05
58,58.0,2.0146093447692692e-05,3.3787062420742586e-05,8.796825568424538e-05
59,59.0,1.9612893083831295e-05,3.204414315405302e-05,8.516155503457412e-05
60,60.0,1.8762668332783505e-05,3.0301298465928994e-05,8.425648411503062e-05
61,61.0,1.7611215298529714e-05,2.7427098757470958e-05,8.192441600840539e-05
62,62.0,1.5706709746154957e-05,2.2786711269873194e-05,7.569550507469103e-05
63,63.0,1.2876738765044138e-05,1.7171551007777452e-05,6.650126306340098e-05
64,64.0,9.61334808380343e-06,1.212903134728549e-05,5.7372588344151154e-05
65,65.0,6.7323817347642034e-06,8.588369382778183e-06,5.030210013501346e-05
66,66.0,4.727372470370028e-06,6.27318695478607e-06,4.481840005610138e-05
67,67.0,3.4953579870489193e-06,4.380740392662119e-06,3.947829463868402e-05
68,68.0,2.6483328383619664e-06,2.625313300086418e-06,3.416635445319116e-05
69,69.0,2.000032054638723e-06,1.485461211814254e-06,3.0448800316662528e-05
70,70.0,1.702420377114322e-06,1.501239012213773e-06,2.9692062526009977e-05
71,71.0,1.953932724063634e-06,2.5147667201963486e-06,3.1220464734360576e-05
72,72.0,2.6686072942538885e-06,3.7077861634315923e-06,3.262557220296003e-05
73,73.0,3.48246680914599e-06,4.330329829826951e-06,3.1862891773926094e-05
74,74.0,4.057431397086475e-06,4.285946943127783e-06,2.8900980396429077e-05
75,75.0,4.325951522332616e-06,3.998458851128817e-06,2.5373614334966987e-05
76,76.0,4.432027708389796e-06,3.826319698418956e-06,2.2908310711500235e-05
77,77.0,4.486125362745952e-06,3.7182542200753232e-06,2.197873982368037e-05
78,78.0,4.4319108383206185e-06,3.4178679015894886e-06,2.2191088646650314e-05
79,79.0,4.150339464104036e-06,2.8676274723693496e-06,2.3216105546453036e-05
80,80.0,3.6410606298886705e-06,2.3052646156429546e-06,2.5109618945862167e-05
81,81.0,3.0570402032026323e-06,1.9866258753609145e-06,2.7809974199044518e-05
82,82.0,2.5675456072349334e-06,1.9134668036713265e-06,3.0683040677104145e-05
83,83.0,2.2219494439923437e-06,1.8854690324587864e-06,3.2828575058374554e-05
84,84.0,1.9612873529695207e-06,1.7736716699801036e-06,3.38328791258391e-05
85,85.0,1.7358755712848506e-06,1.6684184629411902e-06,3.409238706808537e-05
86,86.0,1.575490159666515e-06,1.74793694895925e-06,3.436622500885278e-05
87,87.0,1.5403743418573868e-06,2.0565257727866992e-06,3.509069938445464e-05
88,88.0,1.631594841455808e-06,2.4583926006016554e-06,3.616604226408526e-05
89,89.0,1.7756344732333673e-06,2.7920659704250284e-06,3.7296267691999674e-05
90,90.0,1.893786247819662e-06,3.0173421237122966e-06,3.8358793972292915e-05
