,mean,std
0,0.03399428119882941,0.015174875766215368
1,0.07852717587957159,0.13407063311395304
2,0.02150905827875249,0.028971684515442745
3,0.011673973640426993,0.01356549294968054
4,0.008459801276330836,0.010558721528307575
5,0.013012063165660948,0.021690007857469322
6,0.007147563504986465,0.00982641405589257
7,0.001146576578321401,0.0009478578698931021
8,0.00463886302895844,0.0071954702559542194
9,0.005387119677834562,0.00977627834519376
10,0.00337224782560952,0.0055168577073187305
11,0.002028701128438115,0.0020519101755017088
12,0.0010541054361965507,0.0009036156793408513
13,0.0012961654138052836,0.0011649704005545559
14,0.0020753984063048847,0.002823155892964507
15,0.0020608633749361616,0.0031386221960325164
16,0.001248181208211463,0.0011877895629581754
17,0.0005788797898276243,0.00043671394496155413
18,0.0006252686800962692,0.0004911691964920474
19,0.0011257339428993873,0.0009474967116741014
20,0.0013344242906896397,0.0016204669824800425
21,0.0011731002186934347,0.0016300802521865532
22,0.0009053712237800937,0.0010316487250489406
23,0.0005327927647158504,0.0003910354649654457
24,0.00024504591692675604,0.00021903032695290086
25,0.0002540773457440082,0.00013774317698995442
26,0.00037023659024271183,0.00026192038384603613
27,0.0004305263446440222,0.0006218983690814957
28,0.0004436796675690857,0.0006888074015298608
29,0.0003484842482066597,0.0005136484606727724
30,0.00019238370941820904,0.0002704686801244312
31,0.00010823087950484478,7.431261888775288e-05
32,7.579861949125188e-05,5.474270073276292e-05
33,7.167625562942703e-05,5.033566879389582e-05
34,0.00013323453003977193,0.0001595349121081163
35,0.00019632522116808104,0.00027292154631829965
36,0.00020442068444026518,0.00030429683519618827
37,0.00019208731919206912,0.00024000972206239912
38,0.00015825692753423937,0.00014006802768283153
39,9.909875006997027e-05,7.244091793727941e-05
40,6.185533811731148e-05,4.695591020949918e-05
41,5.1126916559951496e-05,5.056893056987004e-05
42,5.4046284390096844e-05,4.554666333595719e-05
43,7.972060848260298e-05,7.217259316103265e-05
44,9.809738730837125e-05,9.43184036898177e-05
45,8.693235099599406e-05,0.00010264231461013242
46,7.006887949501106e-05,8.241838270147744e-05
47,4.779863093062886e-05,4.624826530069393e-05
48,1.9534182911229436e-05,1.5375660671373638e-05
49,9.712952646623307e-06,7.23645045747782e-06
50,1.386778160394897e-05,7.307412138852451e-06
51,1.7882880456454586e-05,1.684588139106597e-05
52,2.580179398137261e-05,3.005835730049393e-05
53,3.095957629284385e-05,4.070350518424293e-05
54,2.950592624983983e-05,4.441778039958703e-05
55,2.7004986122847185e-05,3.389749545401939e-05
56,2.049977160822891e-05,1.8692042964532804e-05
57,1.4022213690623175e-05,8.847586716246203e-06
58,1.2036382372571097e-05,5.935335685448586e-06
59,9.511159134945046e-06,7.285855245813878e-06
60,9.963997968043259e-06,6.654152102987326e-06
61,1.4121147046353144e-05,9.632407069554871e-06
62,1.5094792445324856e-05,1.4802536852033533e-05
63,1.4772414090202801e-05,1.5190032938744409e-05
64,1.3540667850975296e-05,1.209132187247248e-05
65,9.302368965791175e-06,8.612943354402293e-06
66,5.870577581390535e-06,2.9725731565757988e-06
67,3.7663586454073084e-06,8.484464655673051e-07
68,2.7898808525606e-06,2.621417679810103e-07
69,3.956277453198709e-06,1.6974074505079743e-06
70,4.929775229811639e-06,4.005827568776208e-06
71,5.794456967578299e-06,6.158840824709274e-06
72,6.469964091593283e-06,6.468338222102436e-06
73,5.545712554066995e-06,5.4253823843993746e-06
74,4.684725013248681e-06,3.2541088196372977e-06
75,3.937303461043484e-06,1.355454300213951e-06
76,3.0393926238048152e-06,1.4248803379642767e-06
77,3.050638440527109e-06,1.2886923433199001e-06
78,3.1831963553941023e-06,1.0612642505431593e-06
79,3.4594112605645932e-06,1.7448509644835364e-06
80,3.8145986991366954e-06,2.1621481188473115e-06
81,3.608739973515185e-06,2.6025758692187457e-06
82,3.4014394714176888e-06,2.2235958876453398e-06
83,2.871783806313033e-06,1.3850488872738213e-06
84,2.197800796466254e-06,7.669084922479081e-07
85,1.978393072477047e-06,2.9274447121517144e-07
86,1.8273819932801416e-06,4.777519739721207e-07
87,1.976211990495358e-06,6.939539574961078e-07
88,2.2765355254250608e-06,1.0052989034110446e-06
89,2.3817869703179895e-06,1.3052072308894218e-06
90,2.410452253798212e-06,1.1383829476567566e-06
91,2.2347774404352094e-06,9.693693735753763e-07
92,2.0796108231024846e-06,7.124439283368077e-07
93,1.9531277928308555e-06,5.275262930941773e-07
94,1.8439676523485105e-06,6.074166431052577e-07
95,1.9016016494788346e-06,5.001770286570916e-07
96,1.9007215996680316e-06,5.449458676675866e-07
97,1.93685232829921e-06,6.416634559752356e-07
98,1.9816008318684908e-06,7.199594771106436e-07
99,1.9131425688101444e-06,7.466152965950769e-07
100,1.8451321750490024e-06,6.101265686191571e-07
101,1.7350384382552875e-06,5.479759499026657e-07
102,1.6634544977023324e-06,4.800569263033267e-07
103,1.6482004809859063e-06,4.7230582688056304e-07
104,1.674654129146802e-06,5.416381367566876e-07
105,1.7347591096950055e-06,5.55300356636435e-07
106,1.7441705324472423e-06,5.884395936182813e-07
107,1.7499445732482855e-06,5.660523823351805e-07
108,1.722125404057806e-06,5.397873340389954e-07
109,1.683290975051932e-06,5.247517465071953e-07
110,1.66814552926553e-06,5.044650678075105e-07
111,1.647195801979251e-06,5.12591704512005e-07
112,1.6506641316027526e-06,4.955218871048701e-07
113,1.6535439044673694e-06,5.111315312244884e-07
114,1.661667027974545e-06,5.262822684989131e-07
115,1.6614327762454195e-06,5.331842046187388e-07
116,1.6462315102216962e-06,5.359428721611385e-07
117,1.6324409415346963e-06,5.138032021304961e-07
118,1.6104583693277164e-06,5.068826915209171e-07
119,1.6052101443619904e-06,4.97918165436205e-07
120,1.6067609323044962e-06,5.069027786889553e-07
121,1.6140131293695958e-06,5.143560183133533e-07
122,1.6214618767662614e-06,5.155772183285405e-07
123,1.6210788089665584e-06,5.182828975032554e-07
124,1.6177622228497057e-06,5.10872335650196e-07
125,1.608198601843469e-06,5.117404699602352e-07
126,1.60382100489187e-06,5.078281625764486e-07
127,1.5985548600383481e-06,5.075597790518809e-07
128,1.5975791995970212e-06,5.063621951698922e-07
129,1.5986386756594584e-06,5.079008199885961e-07
130,1.5978895930857107e-06,5.12049726438642e-07
131,1.5982868575292741e-06,5.127744608967955e-07
132,1.595253664277152e-06,5.14355288994899e-07
133,1.5918568863071414e-06,5.098924163147852e-07
134,1.5874686312145059e-06,5.090480394217523e-07
135,1.585851535423899e-06,5.081950802898988e-07
136,1.5854023587280608e-06,5.096888925209172e-07
137,1.5867921803192075e-06,5.115635210196507e-07
