,loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/training/learning_rate,config/training/gamma_scheduler,config/model/hidden_size_ODE,config/model/n_layers_hidden_ODE,config/model/activation_ODE,logdir
0,,,,1729253450,,True,51,b6b1dc73,2024-10-18_14-10-50,0.0005047321319580078,2.5529544353485107,1909280,zimmerib,139.11.222.200,2.5529544353485107,51,0.27441126382862313,0.9997151893663724,64,3,none,b6b1dc73
1,inf,,,1729253454,,True,51,75043378,2024-10-18_14-10-54,0.0006930828094482422,2.829094409942627,1911340,zimmerib,139.11.222.200,2.829094409942627,51,0.48183174362290965,0.9993834415188257,82,3,leaky_relu,75043378
2,0.000622939202003181,,,1729253458,,True,51,bd03b0a7,2024-10-18_14-10-58,0.00038814544677734375,3.1464481353759766,1911534,zimmerib,139.11.222.200,3.1464481353759766,51,0.010118996536188456,0.9998326198455479,80,4,relu,bd03b0a7
3,inf,,,1729253462,,True,51,b590bd32,2024-10-18_14-11-02,0.00035572052001953125,2.7676467895507812,1911619,zimmerib,139.11.222.200,2.7676467895507812,51,0.05914603019020792,0.9996399210213275,23,4,none,b590bd32
4,inf,,,1729253465,,True,51,d88d1071,2024-10-18_14-11-05,0.00046515464782714844,2.6003828048706055,1911720,zimmerib,139.11.222.200,2.6003828048706055,51,0.2280806046049521,0.9995684339488686,11,3,elu,d88d1071
5,0.02478436566889286,,,1729253469,,True,51,1218638a,2024-10-18_14-11-09,0.00026535987854003906,1.9991512298583984,1911819,zimmerib,139.11.222.200,1.9991512298583984,51,0.17976035520788727,0.9994370319537993,73,1,leaky_relu,1218638a
6,5232.97216796875,,24.0,1729253472,,True,25,5d99bfdb,2024-10-18_14-11-12,0.03296494483947754,1.6916840076446533,1911922,zimmerib,139.11.222.200,1.6916840076446533,25,0.1577210211785827,0.9993637107709427,61,2,relu,5d99bfdb
7,0.08478398621082306,,,1729253477,,True,51,92a575f7,2024-10-18_14-11-17,0.00034999847412109375,2.152637481689453,1912006,zimmerib,139.11.222.200,2.152637481689453,51,0.32655763164944457,0.9992532916025397,52,1,elu,92a575f7
8,0.029698878526687622,,,1729253480,,True,51,82b39cca,2024-10-18_14-11-20,0.0003914833068847656,2.1910641193389893,1912107,zimmerib,139.11.222.200,2.1910641193389893,51,0.09829921501640994,0.999368725170661,84,1,elu,82b39cca
9,inf,,24.0,1729253483,,True,25,a9f4dffe,2024-10-18_14-11-23,0.02729654312133789,1.3628997802734375,1912208,zimmerib,139.11.222.200,1.3628997802734375,25,0.4883807764842867,0.999604845519745,77,1,elu,a9f4dffe
